Chart,Practice,Code Smells,Total Lines,Ratio
istiod,count_http_only_repositories,0,5100,0.00%
istiod,count_nonrange_versions,0,5100,0.00%
istiod,count_tabs,0,5100,0.00%
istiod,has_helper_file,1,5100,0.02%
istiod,include_indent_required,0,5100,0.00%
istiod,chart_name_format,0,5100,0.00%
istiod,namespaced_template_definitions,3,5100,0.06%
jaeger,configmap_sensitive_values,0,1934,0.00%
jaeger,standard_labels,1,1934,0.05%
jaeger,count_embedded_objects,12,1934,0.62%
jaeger,count_http_only_repositories,0,1934,0.00%
jaeger,count_nonrange_versions,3,1934,0.16%
jaeger,count_tabs,0,1934,0.00%
jaeger,has_helper_file,0,1934,0.00%
jaeger,include_indent_required,36,1934,1.86%
jaeger,chart_name_format,0,1934,0.00%
jaeger,namespaced_template_definitions,0,1934,0.00%
keptn,configmap_sensitive_values,0,165,0.00%
keptn,standard_labels,0,165,0.00%
keptn,count_embedded_objects,3,165,1.82%
keptn,count_http_only_repositories,0,165,0.00%
keptn,count_nonrange_versions,3,165,1.82%
keptn,count_tabs,0,165,0.00%
keptn,has_helper_file,0,165,0.00%
keptn,include_indent_required,2,165,1.21%
keptn,chart_name_format,0,165,0.00%
keptn,namespaced_template_definitions,0,165,0.00%
keptn-lifecycle-toolkit,configmap_sensitive_values,0,165,0.00%
keptn-lifecycle-toolkit,standard_labels,0,165,0.00%
keptn-lifecycle-toolkit,count_embedded_objects,3,165,1.82%
keptn-lifecycle-toolkit,count_http_only_repositories,0,165,0.00%
keptn-lifecycle-toolkit,count_nonrange_versions,3,165,1.82%
keptn-lifecycle-toolkit,count_tabs,0,165,0.00%
keptn-lifecycle-toolkit,has_helper_file,0,165,0.00%
keptn-lifecycle-toolkit,include_indent_required,2,165,1.21%
keptn-lifecycle-toolkit,chart_name_format,0,165,0.00%
keptn-lifecycle-toolkit,namespaced_template_definitions,0,165,0.00%
kuadrant-operator,configmap_sensitive_values,0,11791,0.00%
kuadrant-operator,standard_labels,1,11791,0.01%
kuadrant-operator,count_embedded_objects,0,11791,0.00%
kuadrant-operator,count_http_only_repositories,0,11791,0.00%
kuadrant-operator,count_nonrange_versions,3,11791,0.03%
kuadrant-operator,count_tabs,0,11791,0.00%
kuadrant-operator,has_helper_file,1,11791,0.01%
kuadrant-operator,include_indent_required,0,11791,0.00%
kuadrant-operator,chart_name_format,0,11791,0.00%
kuadrant-operator,namespaced_template_definitions,0,11791,0.00%
kube-prometheus-stack,configmap_sensitive_values,1,96247,0.00%
kube-prometheus-stack,standard_labels,30,96247,0.03%
kube-prometheus-stack,count_embedded_objects,23,96247,0.02%
kube-prometheus-stack,count_http_only_repositories,0,96247,0.00%
kube-prometheus-stack,count_nonrange_versions,4,96247,0.00%
kube-prometheus-stack,count_tabs,5,96247,0.01%
kube-prometheus-stack,has_helper_file,0,96247,0.00%
kube-prometheus-stack,include_indent_required,2,96247,0.00%
kube-prometheus-stack,chart_name_format,0,96247,0.00%
kube-prometheus-stack,namespaced_template_definitions,0,96247,0.00%
kured,configmap_sensitive_values,0,740,0.00%
kured,standard_labels,2,740,0.27%
kured,count_embedded_objects,11,740,1.49%
kured,count_http_only_repositories,0,740,0.00%
kured,count_nonrange_versions,0,740,0.00%
kured,count_tabs,0,740,0.00%
kured,has_helper_file,0,740,0.00%
kured,include_indent_required,0,740,0.00%
kured,chart_name_format,0,740,0.00%
kured,namespaced_template_definitions,0,740,0.00%
kyverno,configmap_sensitive_values,0,95113,0.00%
kyverno,standard_labels,22,95113,0.02%
kyverno,count_embedded_objects,17,95113,0.02%
kyverno,count_http_only_repositories,0,95113,0.00%
kyverno,count_nonrange_versions,4,95113,0.00%
kyverno,count_tabs,0,95113,0.00%
kyverno,has_helper_file,0,95113,0.00%
kyverno,include_indent_required,34,95113,0.04%
kyverno,chart_name_format,0,95113,0.00%
kyverno,namespaced_template_definitions,0,95113,0.00%
kyverno-policies,configmap_sensitive_values,0,1923,0.00%
kyverno-policies,standard_labels,7,1923,0.36%
kyverno-policies,count_embedded_objects,1,1923,0.05%
kyverno-policies,count_http_only_repositories,0,1923,0.00%
kyverno-policies,count_nonrange_versions,0,1923,0.00%
kyverno-policies,count_tabs,0,1923,0.00%
kyverno-policies,has_helper_file,0,1923,0.00%
kyverno-policies,include_indent_required,0,1923,0.00%
kyverno-policies,chart_name_format,0,1923,0.00%
kyverno-policies,namespaced_template_definitions,0,1923,0.00%
limitador-operator,configmap_sensitive_values,0,1661,0.00%
limitador-operator,standard_labels,1,1661,0.06%
limitador-operator,count_embedded_objects,0,1661,0.00%
limitador-operator,count_http_only_repositories,0,1661,0.00%
