Chart,Practice,Code Smells,Total Lines,Ratio
prom-label-proxy,chart_name_format,0,943,0.00%
prom-label-proxy,namespaced_template_definitions,0,943,0.00%
prometheus,configmap_sensitive_values,0,3045,0.00%
prometheus,standard_labels,17,3045,0.56%
prometheus,count_embedded_objects,11,3045,0.36%
prometheus,count_http_only_repositories,0,3045,0.00%
prometheus,count_nonrange_versions,0,3045,0.00%
prometheus,count_tabs,0,3045,0.00%
prometheus,has_helper_file,0,3045,0.00%
prometheus,include_indent_required,22,3045,0.72%
prometheus,chart_name_format,0,3045,0.00%
prometheus,namespaced_template_definitions,0,3045,0.00%
prometheus-adapter,configmap_sensitive_values,0,1177,0.00%
prometheus-adapter,standard_labels,3,1177,0.25%
prometheus-adapter,count_embedded_objects,15,1177,1.27%
prometheus-adapter,count_http_only_repositories,0,1177,0.00%
prometheus-adapter,count_nonrange_versions,0,1177,0.00%
prometheus-adapter,count_tabs,0,1177,0.00%
prometheus-adapter,has_helper_file,0,1177,0.00%
prometheus-adapter,include_indent_required,23,1177,1.95%
prometheus-adapter,chart_name_format,0,1177,0.00%
prometheus-adapter,namespaced_template_definitions,0,1177,0.00%
prometheus-blackbox-exporter,configmap_sensitive_values,0,1321,0.00%
prometheus-blackbox-exporter,standard_labels,9,1321,0.68%
prometheus-blackbox-exporter,count_embedded_objects,17,1321,1.29%
prometheus-blackbox-exporter,count_http_only_repositories,0,1321,0.00%
prometheus-blackbox-exporter,count_nonrange_versions,0,1321,0.00%
prometheus-blackbox-exporter,count_tabs,0,1321,0.00%
prometheus-blackbox-exporter,has_helper_file,0,1321,0.00%
prometheus-blackbox-exporter,include_indent_required,8,1321,0.61%
prometheus-blackbox-exporter,chart_name_format,0,1321,0.00%
prometheus-blackbox-exporter,namespaced_template_definitions,0,1321,0.00%
prometheus-conntrack-stats-exporter,configmap_sensitive_values,0,122,0.00%
prometheus-conntrack-stats-exporter,standard_labels,1,122,0.82%
prometheus-conntrack-stats-exporter,count_embedded_objects,3,122,2.46%
prometheus-conntrack-stats-exporter,count_http_only_repositories,0,122,0.00%
prometheus-conntrack-stats-exporter,count_nonrange_versions,0,122,0.00%
prometheus-conntrack-stats-exporter,count_tabs,0,122,0.00%
prometheus-conntrack-stats-exporter,has_helper_file,1,122,0.82%
prometheus-conntrack-stats-exporter,include_indent_required,5,122,4.10%
prometheus-conntrack-stats-exporter,chart_name_format,0,122,0.00%
prometheus-conntrack-stats-exporter,namespaced_template_definitions,0,122,0.00%
prometheus-json-exporter,configmap_sensitive_values,0,662,0.00%
prometheus-json-exporter,standard_labels,2,662,0.30%
prometheus-json-exporter,count_embedded_objects,10,662,1.51%
prometheus-json-exporter,count_http_only_repositories,0,662,0.00%
prometheus-json-exporter,count_nonrange_versions,0,662,0.00%
prometheus-json-exporter,count_tabs,0,662,0.00%
prometheus-json-exporter,has_helper_file,0,662,0.00%
prometheus-json-exporter,include_indent_required,17,662,2.57%
prometheus-json-exporter,chart_name_format,0,662,0.00%
prometheus-json-exporter,namespaced_template_definitions,0,662,0.00%
prometheus-node-exporter,configmap_sensitive_values,1,1648,0.06%
prometheus-node-exporter,standard_labels,10,1648,0.61%
prometheus-node-exporter,count_embedded_objects,22,1648,1.33%
prometheus-node-exporter,count_http_only_repositories,0,1648,0.00%
prometheus-node-exporter,count_nonrange_versions,0,1648,0.00%
prometheus-node-exporter,count_tabs,0,1648,0.00%
prometheus-node-exporter,has_helper_file,0,1648,0.00%
prometheus-node-exporter,include_indent_required,26,1648,1.58%
prometheus-node-exporter,chart_name_format,0,1648,0.00%
prometheus-node-exporter,namespaced_template_definitions,0,1648,0.00%
prometheus-operator-crds,configmap_sensitive_values,0,74611,0.00%
prometheus-operator-crds,standard_labels,10,74611,0.01%
prometheus-operator-crds,count_embedded_objects,1,74611,0.00%
prometheus-operator-crds,count_http_only_repositories,0,74611,0.00%
prometheus-operator-crds,count_nonrange_versions,1,74611,0.00%
prometheus-operator-crds,count_tabs,0,74611,0.00%
prometheus-operator-crds,has_helper_file,1,74611,0.00%
prometheus-operator-crds,include_indent_required,0,74611,0.00%
prometheus-operator-crds,chart_name_format,0,74611,0.00%
prometheus-operator-crds,namespaced_template_definitions,0,74611,0.00%
prometheus-pushgateway,configmap_sensitive_values,0,1301,0.00%
prometheus-pushgateway,standard_labels,31,1301,2.38%
prometheus-pushgateway,count_embedded_objects,12,1301,0.92%
prometheus-pushgateway,count_http_only_repositories,0,1301,0.00%
prometheus-pushgateway,count_nonrange_versions,0,1301,0.00%
